 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.2000000000E+001   0.1420000000E+003   0.1395692444E+002   0.4210147095E+002   0.1844498253E+002   0.4885279083E+002   0.6282291412E+002
   0.2000000000E+001   0.1440000000E+003   0.1331559277E+002   0.4194075775E+002   0.1891904068E+002   0.4871740341E+002   0.6282706451E+002
   0.2000000000E+001   0.1460000000E+003   0.1265896797E+002   0.4177933884E+002   0.1936968040E+002   0.4858526611E+002   0.6283077621E+002
   0.2000000000E+001   0.1480000000E+003   0.1198803425E+002   0.4161766815E+002   0.1979653549E+002   0.4845697403E+002   0.6283417130E+002
   0.2000000000E+001   0.1500000000E+003   0.1130352688E+002   0.4145501328E+002   0.2019931602E+002   0.4833311844E+002   0.6283727646E+002
   0.2000000000E+001   0.1520000000E+003   0.1060629463E+002   0.4129089737E+002   0.2057766151E+002   0.4821405792E+002   0.6284010315E+002
   0.2000000000E+001   0.1540000000E+003   0.9897170067E+001   0.4112487793E+002   0.2093124199E+002   0.4810052109E+002   0.6284266663E+002
   0.2000000000E+001   0.1560000000E+003   0.9177011490E+001   0.4095542526E+002   0.2125974464E+002   0.4799237823E+002   0.6284496307E+002
   0.2000000000E+001   0.1580000000E+003   0.8446588516E+001   0.4078062439E+002   0.2156287193E+002   0.4789026642E+002   0.6284698105E+002
   0.2000000000E+001   0.1600000000E+003   0.7706811905E+001   0.4059741211E+002   0.2184058380E+002   0.4779511642E+002   0.6284891129E+002
   0.2000000000E+001   0.1620000000E+003   0.6958498478E+001   0.4040098953E+002   0.2209248924E+002   0.4770655823E+002   0.6285064316E+002
   0.2000000000E+001   0.1640000000E+003   0.6202476978E+001   0.4018437576E+002   0.2231852150E+002   0.4762537384E+002   0.6285228729E+002
   0.2000000000E+001   0.1660000000E+003   0.5439640522E+001   0.3993597794E+002   0.2251834869E+002   0.4755164337E+002   0.6285375595E+002
   0.2000000000E+001   0.1680000000E+003   0.4670796871E+001   0.3963631821E+002   0.2269207382E+002   0.4748605728E+002   0.6285525894E+002
   0.2000000000E+001   0.1700000000E+003   0.3896860361E+001   0.3924939728E+002   0.2283930016E+002   0.4742827225E+002   0.6285661316E+002
   0.2000000000E+001   0.1720000000E+003   0.3118754148E+001   0.3870361328E+002   0.2296015739E+002   0.4737878418E+002   0.6285803223E+002
   0.2000000000E+001   0.1740000000E+003   0.2337522030E+001   0.3783026123E+002   0.2305441284E+002   0.4733790970E+002   0.6285942078E+002
   0.2000000000E+001   0.1760000000E+003   0.1554582477E+001   0.3611936569E+002   0.2312206268E+002   0.4730548096E+002   0.6286084747E+002
   0.2000000000E+001   0.1780000000E+003   0.7738850117E+000   0.3100191307E+002   0.2316308784E+002   0.4728167343E+002   0.6286235428E+002
   0.2000000000E+001   0.1800000000E+003   0.1383257508E+000   0.5970060349E+002   0.2317724991E+002   0.4726675797E+002   0.6286377716E+002
   0.4000000000E+001   0.0000000000E+000   0.6560584903E-001   0.2217393494E+002   0.2194751358E+002   0.4818041229E+002   0.6177316666E+002
   0.4000000000E+001   0.2000000000E+001   0.6906127930E+000   0.2946383095E+002   0.2193367577E+002   0.4818758392E+002   0.6177037048E+002
   0.4000000000E+001   0.4000000000E+001   0.1422102332E+001   0.2743710518E+002   0.2189884567E+002   0.4822090530E+002   0.6177076340E+002
   0.4000000000E+001   0.6000000000E+001   0.2152704954E+001   0.2684835625E+002   0.2184309578E+002   0.4828017807E+002   0.6177435303E+002
   0.4000000000E+001   0.8000000000E+001   0.2881199121E+001   0.2662662888E+002   0.2176602936E+002   0.4836485291E+002   0.6178071594E+002
   0.4000000000E+001   0.1000000000E+002   0.3606784582E+001   0.2656709671E+002   0.2166770172E+002   0.4847507095E+002   0.6178977203E+002
   0.4000000000E+001   0.1200000000E+002   0.4328661442E+001   0.2660234070E+002   0.2154798889E+002   0.4860997772E+002   0.6180126572E+002
   0.4000000000E+001   0.1400000000E+002   0.5046059132E+001   0.2670346260E+002   0.2140651894E+002   0.4876902008E+002   0.6181468582E+002
